"Year","Source","Target","Type","export_val","import_val"
2017,"rus","afg","directed",204537783,1966402.4
2017,"sdn","afg","directed",32000,3413
2017,"sen","afg","directed",7355,206022.02
2017,"sgp","afg","directed",18916559,318938.49
2017,"srb","afg","directed",46768,10850
2017,"svk","afg","directed",653808,8168
2017,"svn","afg","directed",490170,20044.12
2017,"swe","afg","directed",13909328,285161.73
2017,"syc","afg","directed",0,1259
2017,"tgo","afg","directed",0,2301
2017,"tun","afg","directed",189037,98820.18
2017,"tur","afg","directed",172062113,8619027.43
2017,"tza","afg","directed",0,75371.55
2017,"ukr","afg","directed",5985456,75698.4
2017,"ury","afg","directed",142365,76866
2017,"usa","afg","directed",760308080,8225642.15
2017,"zaf","afg","directed",2265359,193582
2017,"zmb","afg","directed",0,25657
2017,"arg","ago","directed",37199738,6188847.91
2017,"atg","ago","directed",0,27625.6
2017,"aus","ago","directed",5474039,408546
2017,"aut","ago","directed",47055968,533114.5
2017,"aze","ago","directed",14435,35747
2017,"bdi","ago","directed",1546,0
2017,"bgr","ago","directed",937692,10650
2017,"bih","ago","directed",618573,0
2017,"blr","ago","directed",31532400,0
2017,"bra","ago","directed",669582480,247796347.1
2017,"brn","ago","directed",0,52406
2017,"can","ago","directed",52056093,7322.69
2017,"che","ago","directed",8622567,119338
2017,"chl","ago","directed",3862070,9877291.82
2017,"chn","ago","directed",2234432899,19090441799
2017,"cmr","ago","directed",2161401,13027399.76
2017,"cog","ago","directed",523715687,314369614.2
2017,"col","ago","directed",1307801,55210.34
2017,"cpv","ago","directed",247313,51230.07
2017,"cyp","ago","directed",109144,10238
2017,"cze","ago","directed",9441760,3050.95
2017,"deu","ago","directed",183144038,43582459.59
2017,"dnk","ago","directed",9620132,103316
2017,"dom","ago","directed",1427,6298899.44
2017,"dza","ago","directed",65601,211976
2017,"ecu","ago","directed",246037,1469048.59
2017,"egy","ago","directed",25411871,71673804.57
2017,"esp","ago","directed",263112349,984525246
2017,"est","ago","directed",12278835,0
2017,"fin","ago","directed",4266894,0
2017,"fra","ago","directed",333411458,341151043.2
2017,"gbr","ago","directed",490821347,67163009.31
2017,"geo","ago","directed",6327387,0
2017,"gha","ago","directed",177118,19301562.52
2017,"grc","ago","directed",1699647,159393.78
2017,"hkg","ago","directed",26141175,183431867.4
2017,"hun","ago","directed",83883444,0
2017,"idn","ago","directed",90162390,423528042.3
2017,"ind","ago","directed",225640971,3842726836
2017,"irl","ago","directed",13021235,14280
2017,"isr","ago","directed",11564000,275649.33
2017,"ita","ago","directed",317463828,361780730.7
2017,"jor","ago","directed",2677693,42640624.69
2017,"jpn","ago","directed",30338687,237212184.3
2017,"kaz","ago","directed",97772,0
2017,"ken","ago","directed",370957,1491938.04
2017,"kgz","ago","directed",1370,0
2017,"kor","ago","directed",338684335,182334948
2017,"kwt","ago","directed",1920164,18310
2017,"lbn","ago","directed",4775388,43520.67
2017,"lka","ago","directed",3184928,48003.56
2017,"ltu","ago","directed",34290542,179320.33
2017,"lva","ago","directed",10596377,0
2017,"mda","ago","directed",1046,0
2017,"mex","ago","directed",12492932,113728
2017,"mli","ago","directed",0,944351.49
2017,"mmr","ago","directed",0,7732677.73
2017,"mne","ago","directed",8270,0
2017,"moz","ago","directed",2628856,420270.38
2017,"mrt","ago","directed",366570,200177.07
2017,"mus","ago","directed",421404,94693.87
2017,"mys","ago","directed",217828264,1536012.19
2017,"nga","ago","directed",1533705,7235001.7
2017,"nic","ago","directed",1759,5530
2017,"nld","ago","directed",159300765,5248115.47
2017,"nor","ago","directed",164987913,31673651.94
2017,"nzl","ago","directed",20578218,0
2017,"omn","ago","directed",9157919,0
2017,"per","ago","directed",1177974,70285794.97
2017,"phl","ago","directed",325263,5318101.22
2017,"pol","ago","directed",21028273,1954372.74
2017,"prt","ago","directed",2019973441,291838400
2017,"pry","ago","directed",11532979,141183.84
2017,"rou","ago","directed",3929843,103474.06
2017,"rus","ago","directed",112109555,46479.51
2017,"sen","ago","directed",773425,142180.46
2017,"sgp","ago","directed",64085033,97550979.09
2017,"sle","ago","directed",5046,1195762.63
2017,"slv","ago","directed",14300,0
2017,"srb","ago","directed",3351695,35112.99
2017,"stp","ago","directed",175792,2846067.53
